target_week,yyyyww,n_coins,n_selected,selected,lam,aicc,n_pooled
604,202532,467,12,3 6 7 10 12 13 17 20 21 22 26 27,8.926796682663246e-07,-76685.73612857073,18350
605,202533,470,13,3 6 7 10 11 12 13 17 20 21 22 26 27,9.748275704415663e-07,-77289.10524427777,18540
606,202534,475,13,3 6 7 10 11 12 13 17 20 21 22 26 27,8.74388870550823e-07,-77951.1544130488,18746
607,202535,480,12,2 3 6 7 10 12 13 17 21 22 26 27,8.274141268100781e-07,-78982.2805393592,18952
608,202536,484,11,3 6 7 10 12 13 17 21 22 26 27,6.7000747703422794e-06,-79869.34854217712,19151
609,202537,485,12,3 6 7 10 12 13 17 20 21 22 26 27,6.563045609225174e-07,-80639.21530790858,19352
610,202538,488,13,0 3 6 7 10 12 13 17 20 21 22 26 27,7.181871677575469e-07,-81503.19796748557,19547
611,202539,493,12,3 6 7 10 12 13 16 17 21 22 26 27,3.3048081331018293e-06,-82339.07516459266,19748
612,202540,506,13,3 6 7 10 12 13 16 17 20 21 22 26 27,7.5568968856413675e-06,-83308.14415249597,19954
613,202541,508,15,3 6 7 10 11 12 13 16 17 20 21 22 24 26 27,7.264527090833028e-07,-83970.0795841188,20164
614,202542,508,16,0 3 6 7 10 11 12 13 16 17 20 21 22 24 26 27,7.552861931193337e-07,-84587.56459472388,20365
615,202543,518,13,0 3 6 7 10 11 12 13 17 21 22 24 26,1.1374773437573977e-05,-85540.40817460165,20569
616,202544,517,13,0 3 6 7 10 11 12 13 17 21 22 24 26,7.524380398503273e-07,-86295.869540896,20776
617,202545,519,13,0 3 6 7 10 11 13 14 17 21 22 24 26,7.616468213738113e-07,-86624.9649877802,20981
618,202546,529,16,0 1 3 6 7 10 11 13 14 17 20 21 22 24 25 26,7.249556271941963e-07,-87865.25731240699,21189
619,202547,536,16,0 1 3 6 7 10 11 12 13 14 17 20 21 22 24 26,7.463069931358738e-07,-88994.83239609993,21407
620,202548,538,16,0 2 3 6 7 10 11 12 13 17 20 21 22 24 25 26,7.020447362848532e-07,-90589.39465876376,21631
621,202549,543,16,0 3 6 7 10 11 12 13 14 17 20 21 22 24 25 26,7.238783680451239e-07,-91624.55379242181,21851
622,202550,548,17,0 1 3 6 7 10 11 12 13 15 17 20 21 22 24 25 26,1.149213481322905e-05,-92987.85532748401,22074
623,202551,553,16,0 3 6 7 10 11 12 13 14 17 20 21 22 24 25 26,7.607092770662465e-07,-94020.3059742317,22300
624,202552,558,15,1 3 6 7 10 11 13 17 19 20 21 22 24 25 26,2.409973427867789e-06,-94931.56053969775,22526
625,202601,557,14,1 3 6 7 10 11 13 17 19 20 21 22 25 26,1.6026919667078317e-05,-95795.46782995829,22737
626,202602,556,15,2 3 6 7 10 11 13 14 17 19 20 21 22 25 26,6.799950426642291e-07,-96467.49557508044,22944
627,202603,558,13,3 6 7 10 11 13 17 19 20 21 22 25 26,5.707557533998351e-07,-97267.72070047115,23150
628,202604,556,16,3 6 7 10 11 12 13 14 15 17 19 20 21 24 25 26,6.221823483878698e-07,-98043.46770430852,23347
629,202605,549,16,1 3 6 7 10 12 13 14 15 17 19 20 21 24 25 26,6.720168197704693e-07,-98966.22572333307,23528
630,202606,549,18,1 2 6 7 8 10 12 13 14 15 16 17 19 20 21 24 25 26,6.963594157924412e-07,-99753.11318908719,23707
631,202607,548,18,1 2 3 6 7 8 10 12 13 14 15 16 19 20 21 24 25 26,8.316390626247055e-06,-100302.87284785508,23887
632,202608,558,18,1 2 6 7 8 10 12 13 14 15 16 17 19 20 21 24 25 26,6.845869356168416e-05,-100801.8000028196,24068
633,202609,564,16,1 6 7 8 10 13 14 15 16 17 19 20 21 24 25 26,0.00014052153343836824,-101539.70636988865,24260
634,202610,566,16,1 2 6 7 10 13 14 15 16 17 19 20 21 24 25 26,0.00018804398154229353,-102192.04762107476,24454
635,202611,566,15,1 2 6 7 10 15 16 17 18 19 20 21 24 25 26,0.00019263283209130648,-102994.01453949237,24643
636,202612,565,15,1 2 6 7 10 15 16 17 18 19 20 21 24 25 26,9.847938799962534e-05,-103670.74706217929,24832
637,202613,570,14,1 2 6 7 10 15 16 17 18 19 20 21 25 26,0.00018387193480601312,-104591.75723318967,25016
638,202614,568,15,1 2 6 7 10 14 15 16 17 18 19 20 21 25 26,0.00011751318056843742,-105004.2751931907,25204
639,202615,558,14,1 2 5 6 7 10 15 16 18 19 20 21 25 26,0.00029405282830389704,-105591.52104146365,25378
640,202616,547,12,1 2 6 7 15 16 18 19 20 21 25 26,0.0002809489578157146,-105761.35754030576,25539
641,202617,542,12,2 6 7 15 16 17 18 19 20 21 25 26,0.00020989889603803893,-106340.365380663,25692
